Fecha,Precio,Provincia
2019-01-01,194.53077238355365,Madrid
2019-01-02,193.5251514015512,Madrid
2019-01-03,202.02210505918978,Madrid
2019-01-04,200.9407688930239,Madrid
2019-01-05,201.40412257004036,Madrid
2019-01-06,202.9420389106213,Madrid
2019-01-07,202.68099514742812,Madrid
2019-01-08,200.7880124661136,Madrid
2019-01-09,210.0367530557285,Madrid
2019-01-10,202.70070886958337,Madrid
2019-01-11,205.474945635201,Madrid
2019-01-12,203.2531975555686,Madrid
2019-01-13,207.07404704491643,Madrid
2019-01-14,208.1782758956215,Madrid
2019-01-15,205.06219435914767,Madrid
2019-01-16,206.96273196865164,Madrid
2019-01-17,203.54176243117087,Madrid
2019-01-18,204.52256805141775,Madrid
2019-01-19,205.8502291967668,Madrid
2019-01-20,204.75785496068886,Madrid
2019-01-21,209.87550428339478,Madrid
2019-01-22,203.47895526563278,Madrid
2019-01-23,205.41358865725928,Madrid
2019-01-24,197.045963834663,Madrid
2019-01-25,204.10345766912033,Madrid
2019-01-26,206.17417836477935,Madrid
2019-01-27,209.68137834847326,Madrid
2019-01-28,211.3857731699571,Madrid
2019-01-29,209.04991208120992,Madrid
2019-01-30,210.8180053049336,Madrid
2019-01-31,220.97193465139168,Madrid
2019-02-01,211.77265168051895,Madrid
2019-02-02,205.9882838219362,Madrid
2019-02-03,199.46794750614814,Madrid
2019-02-04,214.24224132394238,Madrid
2019-02-05,211.42466354249476,Madrid
2019-02-06,202.06731399058276,Madrid
2019-02-07,211.82292097711974,Madrid
2019-02-08,212.5224257038201,Madrid
2019-02-09,210.2834894381536,Madrid
2019-02-10,215.7234107873113,Madrid
2019-02-11,202.08274247790047,Madrid
2019-02-12,211.1098968895107,Madrid
2019-02-13,206.83098670708284,Madrid
2019-02-14,214.82792429979636,Madrid
2019-02-15,197.82672125230823,Madrid
2019-02-16,210.77401658157783,Madrid
2019-02-17,204.4144917679464,Madrid
2019-02-18,207.62677503217571,Madrid
2019-02-19,206.51948701233437,Madrid
2019-02-20,205.16950430269964,Madrid
